metrocast_location_id,age,population
boston,73,35720
boston,74,33740
boston,75,33007
boston,76,32034
boston,77,33480
boston,78,23447
boston,79,22327
boston,80,21235
boston,81,21176
boston,82,17518
boston,83,15275
boston,84+,96382
boulder,0,3060
boulder,1,3035
boulder,2,3046
boulder,3,3111
boulder,4,3252
boulder,5,3306
boulder,6,3418
boulder,7,3725
boulder,8,3884
boulder,9,3964
boulder,10,4060
boulder,11,4172
boulder,12,4256
boulder,13,4303
boulder,14,4519
boulder,15,4624
boulder,16,4956
boulder,17,5096
boulder,18,8646
boulder,19,11018
boulder,20,8898
boulder,21,8656
boulder,22,8443
boulder,23,7302
boulder,24,6471
boulder,25,6276
boulder,26,5816
boulder,27,5636
boulder,28,5669
boulder,29,5450
boulder,30,5569
boulder,31,5652
boulder,32,5744
boulder,33,5727
boulder,34,5774
boulder,35,5663
boulder,36,5318
boulder,37,5312
boulder,38,5405
boulder,39,5305
boulder,40,5244
boulder,41,5284
boulder,42,5123
boulder,43,5229
boulder,44,5201
boulder,45,5208
boulder,46,5165
boulder,47,5122
boulder,48,4866
boulder,49,5000
boulder,50,4828
boulder,51,4917
boulder,52,5079
boulder,53,5344
boulder,54,5412
boulder,55,5127
boulder,56,4809
boulder,57,4560
boulder,58,4452
boulder,59,4480
boulder,60,4669
boulder,61,4763
boulder,62,4688
boulder,63,4726
boulder,64,4754
boulder,65,4597
boulder,66,4545
boulder,67,4507
boulder,68,4342
boulder,69,4296
boulder,70,4092
boulder,71,4009
boulder,72,3858
boulder,73,3629
boulder,74,3476
boulder,75,3321
boulder,76,3166
boulder,77,3320
boulder,78,2291
boulder,79,2103
boulder,80,2018
boulder,81,2007
boulder,82,1615
boulder,83,1333
boulder,84+,8473
charleston,0,10690
charleston,1,10741
charleston,2,11006
charleston,3,10619
charleston,4,10380
charleston,5,10605
charleston,6,10716
charleston,7,10759
charleston,8,11058
charleston,9,11217
charleston,10,10965
charleston,11,10671
charleston,12,10779
charleston,13,10719
charleston,14,11125
charleston,15,11603
charleston,16,11732
charleston,17,11622
charleston,18,10926
charleston,19,10574
charleston,20,10549
charleston,21,10403
charleston,22,10962
charleston,23,12071
charleston,24,12608
charleston,25,12717
charleston,26,13040
charleston,27,12998
charleston,28,12982
charleston,29,13055
charleston,30,13519
charleston,31,13582
charleston,32,13804
charleston,33,14268
charleston,34,14493
charleston,35,14217
charleston,36,13772
charleston,37,13729
charleston,38,13822
charleston,39,13599
charleston,40,13189
charleston,41,13116
charleston,42,13112
charleston,43,12853
charleston,44,12439
charleston,45,11774
charleston,46,11290
charleston,47,11089
charleston,48,10414
charleston,49,10425
charleston,50,10268
charleston,51,10468
charleston,52,11042
charleston,53,11577
charleston,54,11373
charleston,55,10869
charleston,56,10546
charleston,57,10707
charleston,58,11045
charleston,59,11429
charleston,60,11741
charleston,61,11723
charleston,62,11763
charleston,63,11698
charleston,64,11388
charleston,65,11021
charleston,66,10928
charleston,67,10605
charleston,68,10288
charleston,69,10028
charleston,70,9692
charleston,71,9164
charleston,72,8693
charleston,73,8238
charleston,74,7847
charleston,75,7477
charleston,76,7342
charleston,77,7667
charleston,78,5342
charleston,79,4950
charleston,80,4589
charleston,81,4432
charleston,82,3519
charleston,83,3172
charleston,84+,16342
cherokee,0,6736
cherokee,1,7334
cherokee,2,7669
cherokee,3,7514
cherokee,4,7718
cherokee,5,7843
cherokee,6,8267
cherokee,7,8380
cherokee,8,8705
cherokee,9,8780
cherokee,10,8827
cherokee,11,9114
cherokee,12,9046
cherokee,13,9169
cherokee,14,9347
cherokee,15,9802
cherokee,16,10288
cherokee,17,10318
cherokee,18,8790
cherokee,19,7412
cherokee,20,7867
cherokee,21,8281
cherokee,22,8499
cherokee,23,8723
cherokee,24,8596
cherokee,25,8243
cherokee,26,7983
cherokee,27,7990
cherokee,28,7995
cherokee,29,8513
cherokee,30,8740
cherokee,31,8832
cherokee,32,9176
cherokee,33,9391
cherokee,34,9246
cherokee,35,8992
cherokee,36,8964
cherokee,37,9096
cherokee,38,9123
cherokee,39,9161
cherokee,40,9115
cherokee,41,9324
cherokee,42,9179
cherokee,43,9232
cherokee,44,9419
cherokee,45,9116
cherokee,46,8919
cherokee,47,8874
cherokee,48,8597
cherokee,49,9021
cherokee,50,8965
cherokee,51,9095
cherokee,52,9500
cherokee,53,10322
cherokee,54,9954
cherokee,55,9270
cherokee,56,9001
cherokee,57,8862
cherokee,58,8683
cherokee,59,8843
cherokee,60,8703
cherokee,61,8622
cherokee,62,8334
cherokee,63,8024
cherokee,64,7640
cherokee,65,7598
cherokee,66,7332
cherokee,67,7017
cherokee,68,6575
cherokee,69,6173
cherokee,70,6006
cherokee,71,5674
cherokee,72,5472
cherokee,73,5087
cherokee,74,4816
cherokee,75,4746
cherokee,76,4650
cherokee,77,5035
cherokee,78,3287
cherokee,79,3084
cherokee,80,2878
cherokee,81,2827
cherokee,82,2230
cherokee,83,1893
cherokee,84+,9065
clt-area,0,32357
clt-area,1,32862
clt-area,2,33854
clt-area,3,33156
clt-area,4,33372
clt-area,5,33316
clt-area,6,34329
clt-area,7,34742
clt-area,8,35496
clt-area,9,35512
clt-area,10,34621
clt-area,11,34782
clt-area,12,35112
clt-area,13,35326
clt-area,14,36538
clt-area,15,37887
clt-area,16,38835
clt-area,17,38751
clt-area,18,36205
clt-area,19,33268
clt-area,20,33675
clt-area,21,33788
clt-area,22,34869
clt-area,23,37595
clt-area,24,39041
clt-area,25,38946
clt-area,26,39112
clt-area,27,39326
clt-area,28,39681
clt-area,29,40249
clt-area,30,41356
clt-area,31,41960
clt-area,32,42582
clt-area,33,43371
clt-area,34,42804
clt-area,35,41715
clt-area,36,40230
clt-area,37,39235
clt-area,38,39014
clt-area,39,38232
clt-area,40,37410
clt-area,41,38358
clt-area,42,38269
clt-area,43,37572
clt-area,44,37513
clt-area,45,36462
clt-area,46,36376
clt-area,47,36236
clt-area,48,34826
clt-area,49,35164
clt-area,50,34756
clt-area,51,35697
clt-area,52,38008
clt-area,53,40060
clt-area,54,38547
clt-area,55,36548
clt-area,56,35382
clt-area,57,35055
clt-area,58,34513
clt-area,59,34825
clt-area,60,35047
clt-area,61,34170
clt-area,62,33607
clt-area,63,32681
clt-area,64,31333
clt-area,65,30238
clt-area,66,29554
clt-area,67,28720
clt-area,68,26713
clt-area,69,25193
clt-area,70,24278
clt-area,71,23239
clt-area,72,22239
clt-area,73,21063
clt-area,74,20132
