NCES_district_id,state,name,event_name,start,end
1908970	,IA,Des Moines Public Schools,Last Day of School	,2 Jun 2021,
2012990,KS,Wichita County USD 467,First Day of School,15 Aug 2019,
2012990,KS,Wichita County USD 467,Thanksgiving Break	,27 Nov 2019,29 Nov 2019
2012990,KS,Wichita County USD 467,Christmas Break	,23 Dec 2019,6 Jan 2020
2012990,KS,Wichita County USD 467,Spring Break	,13 Mar 2020,20 Mar 2020
2012990,KS,Wichita County USD 467,Last Day of School	,21 May 2020,
2012990,KS,Wichita County USD 467,Easter Break	,2 Apr 2021,5 Apr 2021
2102990,KY,Jefferson County Public Schools,First Day of School,12 Aug 2020,
2102990,KY,Jefferson County Public Schools,Fall Break,2 Oct 2020,6 Oct 2020
2102990,KY,Jefferson County Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
2102990,KY,Jefferson County Public Schools,Christmas Break	,21 Dec 2020,4 Jan 2021
2102990,KY,Jefferson County Public Schools,Mid Winter Break	,12 Feb 2021,15 Feb 2021
2102990,KY,Jefferson County Public Schools,Spring Break	,26 Mar 2021,2 Apr 2021
2102990,KY,Jefferson County Public Schools,Last Day of School	,26 May 2021,
2200840,LA,Jefferson Parish Public Schools,First Day of School,31 Aug 2020,
2200840,LA,Jefferson Parish Public Schools,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
2200840,LA,Jefferson Parish Public Schools,Christmas Break	,23 Dec 2020,1 Jan 2021
2200840,LA,Jefferson Parish Public Schools,Mid Winter Break	,15 Feb 2021,19 Feb 2021
2200840,LA,Jefferson Parish Public Schools,Spring Break	,2 Apr 2021,6 Apr 2021
2200840,LA,Jefferson Parish Public Schools,Last Day of School	,26 May 2021,
2309930,ME,Portland Public Schools ,First Day of School,31 Aug 2020,
2309930,ME,Portland Public Schools ,Fall Break,9 Oct 2020,12 Oct 2020
2309930,ME,Portland Public Schools ,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
2309930,ME,Portland Public Schools ,Christmas Break	,23 Dec 2020,1 Jan 2021
2309930,ME,Portland Public Schools ,Mid Winter Break	,15 Feb 2021,19 Feb 2021
2309930,ME,Portland Public Schools ,Spring Break	,16 Apr 2021,23 Apr 2021
2309930,ME,Portland Public Schools ,Last Day of School	,9 Jun 2021,
2400480,MD,Montgomery County Public Schools,First Day of School,6 Jul 2020,
2400480,MD,Montgomery County Public Schools,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
2400480,MD,Montgomery County Public Schools,Christmas Break	,24 Dec 2020,1 Jan 2021
2400480,MD,Montgomery County Public Schools,Mid Winter Break	,12 Feb 2021,15 Feb 2021
2400480,MD,Montgomery County Public Schools,Spring Break	,29 Mar 2021,5 Apr 2021
2400480,MD,Montgomery County Public Schools,Last Day of School	,14 Jun 2021,
2502790,MA,Boston Public Schools,First Day of School,1 Sep 2020,
2502790,MA,Boston Public Schools,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
2502790,MA,Boston Public Schools,Christmas Break	,24 Dec 2020,4 Jan 2021
2502790,MA,Boston Public Schools,Mid Winter Break	,15 Feb 2021,19 Feb 2021
2502790,MA,Boston Public Schools,Spring Break	,19 Apr 2021,23 Apr 2021
2502790,MA,Boston Public Schools,Last Day of School	,18 Jun 2021,
2616440,MI,East Grand Rapids Public Schools,First Day of School,24 Aug 2020,
2616440,MI,East Grand Rapids Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
2616440,MI,East Grand Rapids Public Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
2616440,MI,East Grand Rapids Public Schools,Mid Winter Break	,15 Feb 2021,19 Feb 2021
2616440,MI,East Grand Rapids Public Schools,Spring Break	,2 Apr 2021,9 Apr 2021
2616440,MI,East Grand Rapids Public Schools,Last Day of School	,3 Jun 2021,
2721240,MN,Minneapolis Public Schools,First Day of School,8 Sep 2020,
2721240,MN,Minneapolis Public Schools,Fall Break,14 Oct 2020,16 Oct 2020
2721240,MN,Minneapolis Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
2721240,MN,Minneapolis Public Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
2721240,MN,Minneapolis Public Schools,Mid Winter Break	,15 Feb 2021,16 Feb 2021
2721240,MN,Minneapolis Public Schools,Spring Break	,2 Apr 2021,9 Apr 2021
2721240,MN,Minneapolis Public Schools,Last Day of School	,11 Jun 2021,
2802190,MS,Jackson Public Schools,First Day of School,10 Aug 2020,
2802190,MS,Jackson Public Schools,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
2802190,MS,Jackson Public Schools,Christmas Break	,21 Dec 2020,4 Jan 2021
2802190,MS,Jackson Public Schools,Spring Break	,15 Mar 2021,19 Mar 2021
2802190,MS,Jackson Public Schools,Easter Break	,2 Apr 2021,5 Apr 2021
2802190,MS,Jackson Public Schools,Last Day of School	,26 May 2021,
2929280,MO,Saint Louis Public Schools,First Day of School,24 Aug 2020,
2929280,MO,Saint Louis Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
2929280,MO,Saint Louis Public Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
2929280,MO,Saint Louis Public Schools,Mid winter Break	,12 Feb 2021,15 Feb 2021
2929280,MO,Saint Louis Public Schools,Spring Break	,19 Mar 2021,26 Mar 2021
2929280,MO,Saint Louis Public Schools,Last Day of School	,3 Jun 2021,
3013260,MT,Hamilton School District 3,First Day of School,24 Aug 2020,
3013260,MT,Hamilton School District 3,Fall Break,15 Oct 2020,16 Oct 2020
3013260,MT,Hamilton School District 3,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
3013260,MT,Hamilton School District 3,Christmas Break	,23 Dec 2020,1 Jan 2021
3013260,MT,Hamilton School District 3,Spring Break	,29 Mar 2021,5 Apr 2021
3013260,MT,Hamilton School District 3,Last Day of School	,4 Jun 2021,
3200060,NV,Clark County School District,First Day of School,9 Aug 2021,
