,United_States,United_States_Alabama,United_States_Alaska,United_States_Arizona,United_States_Arkansas,United_States_California,United_States_Colorado,United_States_Connecticut,United_States_Delaware,United_States_District_of_Columbia,United_States_Florida,United_States_Georgia,United_States_Hawaii,United_States_Idaho,United_States_Illinois,United_States_Indiana,United_States_Iowa,United_States_Kansas,United_States_Kentucky,United_States_Louisiana,United_States_Maine,United_States_Maryland,United_States_Massachusetts,United_States_Michigan,United_States_Minnesota,United_States_Mississippi,United_States_Missouri,United_States_Montana,United_States_Nebraska,United_States_Nevada,United_States_New_Hampshire,United_States_New_Jersey,United_States_New_Mexico,United_States_New_York,United_States_North_Carolina,United_States_North_Dakota,United_States_Ohio,United_States_Oklahoma,United_States_Oregon,United_States_Pennsylvania,United_States_Rhode_Island,United_States_South_Carolina,United_States_South_Dakota,United_States_Tennessee,United_States_Texas,United_States_Utah,United_States_Vermont,United_States_Virginia,United_States_Washington,United_States_West_Virginia,United_States_Wisconsin,United_States_Wyoming
24,4599290,64655,11891,99421,39323,593994,84154,44467,13069,16761,272080,146525,20290,24938,184322,92368,41925,43494,60394,73056,15359,87156,96899,127415,76519,41839,85259,13846,27022,41711,15430,112727,29633,289192,140317,12423,151032,55057,57607,174251,13572,69675,12375,92527,428386,54506,7656,121588,107520,21468,79167,8653
25,4623949,64915,11860,98211,39996,592989,86197,46189,11664,16992,278960,150296,20542,25744,184400,89853,42255,42132,59274,73046,15426,88578,97965,121864,79474,41336,85772,13921,28026,43058,14560,114191,31113,298900,142251,12223,152867,55357,56825,165132,13728,68774,13223,89795,437684,54409,7738,121728,110765,21002,78853,8911
26,4562634,62843,11633,100047,39881,592774,84872,44719,13011,17004,274358,144448,20611,25289,187535,89149,42316,42352,57064,71066,15056,86610,98388,121253,80025,38608,84574,13600,27976,44295,14368,113162,29258,285970,139805,11691,148116,55673,58137,160875,13347,67470,12485,90113,430655,52672,7215,120952,109891,20182,77004,8816
27,4671269,66372,12066,103996,41547,605108,89384,44467,13589,17131,280098,158432,21448,24974,187972,90035,43807,41923,60317,70377,14936,87776,97074,124598,82478,41918,87892,14170,28514,45232,15163,114575,28946,291777,143585,11895,152138,57140,59755,163072,13928,70251,12646,91747,435470,54626,7497,125786,108809,22363,79054,9138
28,4677266,66549,11801,104739,41605,601235,89628,42676,13628,17582,273948,155826,20316,24747,193523,88854,44239,41438,61130,67049,15706,85322,97643,127458,84500,40717,86720,14112,28534,46107,15897,112500,28519,286845,145585,12142,151686,57281,61391,167687,13084,71413,12148,93322,445265,53766,7513,126950,112738,22814,81293,9130
29,4734582,69724,11119,107158,42520,604032,88131,42239,13741,17210,278915,159174,20349,25090,191878,92593,42859,41512,63838,67690,15437,84252,97643,125649,85481,41869,88142,14170,28224,46781,16322,120606,28920,285930,146118,11382,156134,60081,60942,170873,13810,73411,12318,99319,451519,55121,7693,128026,113183,22928,81860,8941
30,4791232,69182,11273,106124,43052,601450,90697,43055,13373,16265,278277,164703,20842,24811,196787,95390,43196,40297,63675,68560,15876,87716,99002,129456,82801,41585,88129,14648,29219,49205,16089,123064,28756,295439,152142,10870,158446,60314,63655,170681,13185,73206,11917,98279,460207,54599,7625,130073,112436,24745,82677,8755
31,4437338,62677,10296,97482,38543,557138,84896,40887,12390,14666,261237,152161,18933,23200,175815,86942,40044,37867,60460,62418,14955,80098,92619,124891,77966,39184,83639,13966,26879,44461,15157,117172,26983,269101,142806,10094,149900,53365,59557,159337,12964,67416,11095,93698,418813,53603,7089,118218,104307,22224,77142,8242
32,4464663,64447,10240,99391,39279,569399,87912,45008,12300,14853,264380,153368,18438,24826,173631,88488,41603,39511,62259,63595,15690,80171,92647,122116,77691,39208,79346,13779,26478,45850,16277,118514,27195,266873,144941,9647,147589,52716,58766,153981,13041,67015,11184,91805,418979,54452,7468,119664,107807,23765,74550,7926
33,4328704,63770,9768,96083,37543,562658,81649,43294,11462,13827,256088,146482,18859,24306,173143,86381,39769,38750,59504,59874,14915,76344,87886,119550,75454,38165,78135,13153,24765,44485,14896,116701,26033,257723,138472,9377,140123,50057,57931,147004,12289,65375,11493,89969,405752,53325,7009,112573,104832,22164,73518,7351
34,4257392,60752,9534,94581,39343,554413,81003,42588,11844,12731,253720,145381,18225,23444,169647,86394,40765,37535,56441,57195,15586,76733,85710,116479,70022,36685,73421,12280,23527,42691,15609,119839,26153,252591,135115,9145,141657,48600,57535,144670,12606,63876,11163,83523,410014,49744,6686,108408,102811,22005,72600,7086
35,4383354,63593,10190,99857,39253,579151,87657,42565,11910,12862,262923,152500,18520,23020,168337,86984,41438,37026,59953,57148,15690,76478,88193,119696,72463,37552,77411,12537,23849,43836,16144,123500,26245,263571,143295,9084,144924,50791,57076,150246,12773,65287,10442,90417,414331,47360,7219,114636,103814,23296,72663,7382
36,4196744,62053,8880,93561,38972,541435,80542,41465,11488,11100,258139,147542,18330,21850,165099,85003,37050,35204,57743,54526,15906,73829,85797,117047,68072,36473,73421,11187,22007,42183,16544,112884,24345,240616,142607,8460,139722,48083,54273,148955,12198,64571,10006,87570,408963,44248,7194,109908,99057,21882,68587,6798
37,4393351,64384,9479,95091,40925,563017,81710,44846,12650,10784,277366,156801,18260,21715,169211,90541,37147,35608,58872,58075,16669,79940,90895,124198,70691,38717,78781,12080,23927,45403,17370,118236,25554,252948,151230,8639,149498,50366,56241,156398,13167,70447,10031,94652,419256,42603,7344,119187,103735,23276,69921,7142
38,4664603,67184,9722,104521,41354,577573,84349,49612,13452,10291,296956,170275,19395,23695,184657,94800,39048,37511,62623,61797,18161,84082,98417,136902,75526,39662,81993,13032,25784,46548,18967,128031,26508,273119,160054,9026,159150,53007,58758,171999,14788,73368,10815,98771,444823,42680,8276,126317,109780,24224,77343,7537
